"Tpeak,v","TTP,t,v","dT/dtMax,v","dT/dtMax,v","Tdur,v","Trest,v"
47.9103,213.0,0.42315,-0.2507,494.0,0.0707876
31.9811,190.0,0.3107,-0.16475,477.0,0.0744143
46.9074,179.0,0.524,-0.22075,501.0,0.182936
12.2572,198.0,0.11224,-0.04253,672.0,0.490896
25.3993,216.0,0.20325,-0.0923,718.0,0.554031
43.3214,209.0,0.3725,-0.18015,567.0,0.35325
27.0174,244.0,0.20471,-0.10275,607.0,0.384952
41.104,213.0,0.36915,-0.1621,569.0,1.33369
33.4123,297.0,0.1936,-0.1212,749.0,0.826652
52.5087,232.0,0.4165,-0.17875,662.0,1.28966
15.2183,152.0,0.19465,-0.089605,402.0,0.0732609
38.0621,222.0,0.31435,-0.14055,609.0,1.30076
73.8585,207.0,0.66,-0.28165,624.0,0.678145
46.7162,157.0,0.58595,-0.2169,481.0,1.03064
22.6842,210.0,0.19721,-0.09605,579.0,0.241555
35.3598,221.0,0.29845,-0.09755,749.0,1.88186
69.8275,200.0,0.6883,-0.3161,516.0,0.183807
45.683,214.0,0.3644,-0.2356,533.0,0.0530593
29.4792,153.0,0.3824,-0.23875,312.0,0.0168368
59.0272,202.0,0.5305,-0.33725,457.0,0.0798154
51.1338,147.0,0.69175,-0.31055,393.0,0.0927095
35.3662,187.0,0.37945,-0.1255,607.0,1.18865
38.1515,213.0,0.32725,-0.18825,538.0,0.0346935
13.8759,164.0,0.162485,-0.08486,411.0,0.0949639
78.2917,227.0,0.67465,-0.3288,543.0,0.329085
65.7755,268.0,0.45955,-0.20145,716.0,1.53678
37.5906,173.0,0.39245,-0.15755,559.0,1.11858
61.9288,160.0,0.79115,-0.37705,377.0,0.063333
24.4668,209.0,0.21854,-0.1029,586.0,0.253633
47.9616,195.0,0.47605,-0.2356,496.0,0.0420331
77.1086,155.0,0.9842,-0.46245,402.0,0.0644192
15.0562,129.0,0.241995,-0.13692,259.0,0.0101214
41.532,202.0,0.3759,-0.1355,725.0,0.976849
42.2502,179.0,0.4404,-0.23075,462.0,0.0789025
31.8157,192.0,0.299,-0.13195,641.0,0.304502
68.0432,175.0,0.74615,-0.3619,440.0,0.242768
52.3009,240.0,0.4169,-0.17395,693.0,0.622387
36.4127,207.0,0.31995,-0.1395,581.0,1.03868
58.7712,188.0,0.5831,-0.2535,553.0,0.580004
